Carrier,Year,Airport,CarrierDelayCt,NasDelayCt,SecurityDelayCt,LateAircraftCt,CancelledFlights,CarrierDelayMinutes
American Airlines,2013,JFK,1250,890,15,456,120,45000
American Airlines,2014,JFK,1180,920,12,445,115,43200
American Airlines,2015,JFK,1045,850,14,420,100,40500
American Airlines,2016,JFK,1100,900,16,450,118,42000
American Airlines,2017,JFK,1050,850,14,420,110,40000
American Airlines,2018,JFK,1200,920,17,480,125,45000
American Airlines,2019,JFK,980,780,11,390,95,38000
American Airlines,2020,JFK,1320,950,20,510,140,50000
American Airlines,2021,JFK,875,720,10,350,80,33000
American Airlines,2022,JFK,1100,850,15,430,105,42000
Delta Airlines,2013,ATL,980,750,18,380,95,38000
Delta Airlines,2014,ATL,1050,800,16,400,105,41000
Delta Airlines,2015,ATL,920,720,14,360,90,35000
Delta Airlines,2016,ATL,960,780,15,370,98,37000
Delta Airlines,2017,ATL,890,700,12,340,85,33000
Delta Airlines,2018,ATL,950,760,16,380,100,36000
Delta Airlines,2019,ATL,820,650,11,310,75,31000
Delta Airlines,2020,ATL,1100,820,19,420,110,42000
Delta Airlines,2021,ATL,750,600,9,280,70,28000
Delta Airlines,2022,ATL,880,710,13,350,88,34000
United Airlines,2013,ORD,1320,920,22,520,135,50000
United Airlines,2014,ORD,1410,980,24,540,145,52000
United Airlines,2015,ORD,1200,850,19,480,120,46000
United Airlines,2016,ORD,1320,910,21,530,140,50500
United Airlines,2017,ORD,1250,880,20,500,130,48000
United Airlines,2018,ORD,1380,950,23,550,150,52000
United Airlines,2019,ORD,1100,800,17,450,115,42000
United Airlines,2020,ORD,1500,1050,25,600,160,56000
United Airlines,2021,ORD,950,750,14,400,100,36000
United Airlines,2022,ORD,1150,870,18,480,125,44000
Southwest Airlines,2013,DAL,750,650,10,300,75,28000
Southwest Airlines,2014,DAL,820,700,11,320,82,31000
Southwest Airlines,2015,DAL,680,600,9,280,70,25000
Southwest Airlines,2016,DAL,750,680,10,310,80,29000
Southwest Airlines,2017,DAL,720,640,9,290,75,27000
Southwest Airlines,2018,DAL,780,700,11,320,85,30000
Southwest Airlines,2019,DAL,650,580,8,260,65,24000
Southwest Airlines,2020,DAL,920,800,13,380,95,35000
Southwest Airlines,2021,DAL,580,520,7,240,60,22000
Southwest Airlines,2022,DAL,720,640,9,290,75,27000
JetBlue Airways,2013,BOS,650,550,8,280,70,24000
JetBlue Airways,2014,BOS,720,600,9,300,75,27000
JetBlue Airways,2015,BOS,580,500,7,240,60,22000
JetBlue Airways,2016,BOS,650,560,8,270,68,25000
JetBlue Airways,2017,BOS,620,540,8,260,65,23000
JetBlue Airways,2018,BOS,680,580,9,290,72,26000
JetBlue Airways,2019,BOS,550,480,6,220,55,20000
JetBlue Airways,2020,BOS,800,700,11,340,88,30000
JetBlue Airways,2021,BOS,450,400,5,190,48,17000
JetBlue Airways,2022,BOS,580,500,7,240,60,22000
